1008028_1	1.113	2.163	2	11	5	115	28	77	22	74	18	56	7	0
1008436_1	0.631	1.549	2	11	6	147	40	82	23	98	14	55	6	0
1008744_1	-0.101	0.932	2	11	7	3526	451	78	22	3845	588	56	7	0
1009152_1	-0.178	0.884	2	11	8	600	84	80	23	658	60	55	7	0
1009560_1	0.739	1.670	2	11	9	1021	126	76	22	635	45	55	7	0
1009968_1	-0.111	0.926	2	11	10	172	45	78	22	160	22	56	7	0
1322222_2	0.595	1.510	2	11	11	103	37	75	24	75	12	56	7	0
1008155_2	0.207	1.154	2	11	12	4285	816	78	23	3791	1010	57	7	0
1006124_1	1.182	2.269	2	12	1	202	64	78	23	112	24	56	7	0
1006828_1	-0.232	0.851	2	12	2	839	237	78	22	972	186	56	7	0
1007236_1	-0.582	0.668	2	12	3	1076	250	79	23	1587	477	58	8	0
1007644_1	1.111	2.160	2	12	4	155	62	77	21	93	26	56	7	0
1008052_1	-0.587	0.666	2	12	5	3993	1049	80	22	6080	1081	56	7	0
1008360_1	1.281	2.430	2	12	6	1440	355	79	23	631	166	57	7	0
1008768_1	0.153	1.112	2	12	7	321	81	78	22	281	48	57	7	0
1009176_1	-0.932	0.524	2	12	8	2597	1025	78	24	4981	1919	57	7	0
1009584_1	-0.016	0.989	2	12	9	353	96	78	24	341	69	56	7	0
1009892_1	-0.276	0.826	2	12	10	2028	170	79	24	2475	193	57	7	0
1010169_2	0.035	1.025	2	12	12	94	26	79	22	71	13	56	7	0
1006444_1	0.620	1.537	2	13	1	90	35	78	24	65	17	57	7	-50
1006852_1	1.011	2.015	2	13	2	193	70	77	22	116	34	57	7	0
1007260_1	2.246	4.745	2	13	3	18844	7717	82	23	4109	1679	57	7	0
