celF	b1734	E100001702
cfa	b1661	E100001631
chaA	b1216	E100001189
chaB	b1217	E100001190
chaC	b1218	E100001191
cheA	b1888	E100001856
cheB	b1883	E100001851
cheR	b1884	E100001852
cheW	b1887	E100001855
cheY	b1882	E100001850
cheZ	b1881	E100001849
chpA	b2782	E100002722
chpB	b4225	E100004113
chpR	b2783	E100002723
chpS	b4224	E100004112
cirA	b2155	E100002114
citA	b0619	E100000609
citB	b0620	E100000610
citC	b0618	E100000608
citD	b0617	E100000607
citE	b0616	E100000606
citF	b0615	E100000605
citG	b0613	E100000603
clpA	b0882	E100000858
clpB	b2592	E100002539
clpP	b0437	E100000429
clpX	b0438	E100000430
cls	b1249	E100001220
cmk	b0910	E100000885
cmr	b0842	E100000818
cmtA	b2933	E100002868
cmtB	b2934	E100002869
coaA	b3974	E100003874
cobB	b1120	E100001093
cobS	b1992	E100001951
cobT	b1991	E100001950
cobU	b1993	E100001952
codA	b0337	E100000329
codB	b0336	E100000328
cof	b0446	E100000438
corA	b3816	E100003726
cpdB	b4213	E100004101
cpsB	b2049	E100002008
cpsG	b2048	E100002007
cpxA	b3911	E100003815
cpxR	b3912	E100003816
crcA	b0622	E100000612
crcB	b0624	E100000614
creA	b4397	E100004281
creB	b4398	E100004282
creC	b4399	E100004283
creD	b4400	E100004284
crl	b0240	E100000233
crp	b3357	E100003280
crr	b2417	E100002368
csgA	b1042	E100001015
csgB	b1041	E100001014
csgC	b1043	E100001016
csgD	b1040	E100001013
csgE	b1039	E100001012
csgF	b1038	E100001011
csgG	b1037	E100001010
csiE	b2535	E100002486
cspA	b3556	E100003478
cspB	b1557	E100001528
cspC	b1823	E100001791
cspD	b0880	E100000856
cspE	b0623	E100000613
cspF	b1558	E100001529
cspG	b0990	E100000964
cspH	b0989	E100000963
cspI	b1552	E100001523
csrA	b2696	E100002636
cstA	b0598	E100000588
cstC	b1748	E100001716
cutA	b4137	E100004028
cutC	b1874	E100001842
cutF	b0192	E100000192
cvpA	b2313	E100002271
cyaA	b3806	E100003716
cyaY	b3807	E100003717
cybB	b1418	E100001389
cybC	b4236	E100004124
cycA	b4208	E100004096
cydA	b0733	E100000716
cydB	b0734	E100000717
cydC	b0886	E100000861
cydD	b0887	E100000862
cynR	b0338	E100000330
cynS	b0340	E100000332
cynT	b0339	E100000331
cynX	b0341	E100000333
cyoA	b0432	E100000424
cyoB	b0431	E100000423
cyoC	b0430	E100000422
cyoD	b0429	E100000421
