1006032_1	-0.23	10.393390457	10.770663893	-0.294156923
1006033_1	-0.63	7.1699250014	7.5235619561	-0.564773084
1006034_1	-0.57	7.5622424242	7.8641861447	-0.554039149
1006035_1	-0.36	7.1292830169	7.7142455177	-0.302815941
1006036_1	-0.2	7.3128829553	7.9886846868	-0.17890291
1006037_1	-0.02	6.5698556083	7.6220518195	0.0875068802
1006038_1	0.106	7.3037807482	8.2761244053	0.1173551997
1006039_1	0.418	10.086136225	11.111787736	0.3560291359
1006040_1	0.55	8.9395792143	10.131856961	0.4968711711
1006041_1	0.076	6.8948177633	7.936637939	0.1322619464
1006042_1	-0.19	7.7548875022	8.3837042925	-0.201674778
1006043_1	-0.04	8.5430318203	9.2094533656	-0.084433215
1006044_1	3.458	9.8826430494	13.910267956	3.3817185486
1006045_1	0.214	7.5313814605	8.5584207133	0.2038189638
1006046_1	0.838	8.2573878427	9.7681843248	0.794026052
1006047_1	0.054	7.2479275134	8.1947568544	0.0724850841
1006048_1	0.453	8.2191685205	9.3728650601	0.4138374202
1006049_1	0.286	6	7.3923174228	0.4668764308
1006050_1	0.073	7.2667865407	8.2384047393	0.0879903571
1006051_1	0.229	7.2761244053	8.3037807482	0.2396540919
1006052_1	0.602	9.1699250014	10.403012024	0.5468273718
1006053_1	0.344	9.1947568544	10.166163083	0.2898141691
1006054_1	-0.37	7.6438561898	8.1292830169	-0.367041771
